Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1173129,2020-05-04 18:52:50,375848982312810,"fraud_Ledner, Hartmann and Feest",health_fitness,10.14,Dale,Smith,M,25036 Contreras Turnpike Suite 270,Purmela,TX,76566,31.4841,-97.9903,258,Web designer,1943-12-15,3879813e90ed30c5d3319964d9ae0936,1367693570,31.451096999999997,-97.303447,0
314369,2019-06-01 03:52:32,4777065439639721,fraud_Zemlak Group,misc_net,87.96,Peter,Caldwell,M,08966 Beltran Route Suite 905,Oaks,PA,19456,40.1334,-75.4536,737,Oceanographer,1987-04-24,c17fbc0337fcc01a65801b42f714a030,1338522752,40.81281,-75.959901,0
189200,2019-04-07 23:41:28,180014262259255,"fraud_Reichert, Rowe and Mraz",shopping_net,940.16,Brianna,Page,F,0043 Henry Plaza,Brantley,AL,36009,31.571,-86.2743,2566,Exercise physiologist,1958-06-26,9f0587078a412696a1781229f91184be,1333842088,31.005039,-85.697335,1
366597,2019-06-19 01:11:01,6506116513503136,fraud_Dooley-Thompson,misc_net,773.63,Kimberly,Rice,F,63991 Destiny Rue Apt. 651,Tyler,TX,75703,32.2768,-95.3031,144160,Sports development officer,1984-05-04,e9a8dcca6c3e022587729c343660744f,1340068261,31.500212,-94.317527,1
1073580,2020-03-22 08:38:19,377264520876399,fraud_Turner and Sons,shopping_pos,20.09,Kara,Miles,F,2076 Thomas Roads Suite 970,Cassatt,SC,29032,34.3424,-80.5,4424,Lawyer,1961-07-31,ef457c719926aee0e580aa5cb955bc56,1363941499,34.346041,-80.042299,0
1138084,2020-04-19 14:38:57,4689147265057948423,fraud_Fritsch and Sons,health_fitness,59.18,Steven,Brooks,M,2622 Reynolds Isle,Manley,NE,68403,40.9207,-96.168,206,Human resources officer,1967-10-04,5e641a136ec97b970c475ce2490b092b,1366382337,40.787284,-95.437632,0
397044,2019-06-30 08:12:30,213193596103206,"fraud_Reichert, Huels and Hoppe",shopping_net,108.97,James,Hunt,M,7369 Gabriel Tunnel,Pointe Aux Pins,MI,49775,45.7549,-84.447,95,Electrical engineer,1994-02-09,4ea52824444280b9e4f64ce5415b77ae,1341043950,45.854336,-84.457887,0
659382,2019-10-07 16:20:59,4226219726886852999,fraud_Erdman-Ebert,personal_care,19.17,Jessica,Bell,F,669 Moore Shoal,Bethel,OH,45106,38.9424,-84.09200000000001,12349,Field trials officer,1985-07-08,5761e9808ac7166cae5ae55269570bd7,1349626859,38.338097,-83.556353,1
672359,2019-10-13 18:02:28,2475085306462014,"fraud_Weber, Thiel and Hammes",kids_pets,54.74,John,Miller,M,153 Mccullough Springs Apt. 857,Lamberton,MN,56152,44.2378,-95.2739,1507,Land/geomatics surveyor,1993-10-12,793fe712fbe10f88289e63f6f2d09005,1350151348,44.648634,-95.285667,0
603722,2019-09-13 23:49:51,4975457191020,fraud_Kuphal-Bartoletti,misc_net,785.11,Danielle,Schaefer,F,3437 Ross Flat Apt. 592,Norfolk,VA,23523,36.8294,-76.2701,242803,Sales promotion account executive,1963-02-20,781e6254022a16153c2616bda565a269,1347580191,36.983144,-75.322512,1
